Date,Description,Category,Amount,Split,Tags
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-5.0,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-2.22,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,MY.GAMES B.V. IAT PAYPAL,Other,-1.11,,
2/5/24,MY.GAMES B.V. IAT PAYPAL,Other,-1.11,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.07,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/7/24,BRIGHTSTAR FRANC DIRECT DEP,Other,1541.8,,
2/8/24,Wealthfront EDI PYMNTS,Other,-1326.02,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/12/24,PAYPAL INST XFER,Other,-5.26,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.07,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/12/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
